BinLab	Quality	Kingdom	Phylum	Class	Order	Family	Genus	Species
DonA_bin_1	Bin	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	
DonA_bin_10	Bin	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella	
DonA_bin_100	Bin	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	
DonA_bin_101	Bin	d__Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	UBA11940	
DonA_bin_102	MAG	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	D16-63	
DonA_bin_103	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UMGS1370	
DonA_bin_104	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UMGS1370	
DonA_bin_105	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_106	MAG	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	
DonA_bin_107	Bin	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	
DonA_bin_108	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_109	Bin	d__Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	UBA2866	
DonA_bin_11	Bin	d__Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae		
DonA_bin_110	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_111	MAG	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	
DonA_bin_112	Bin	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	
DonA_bin_113	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella	
DonA_bin_114	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella	Schaedlerella sp000364245
DonA_bin_115	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_116	Bin	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_F	
DonA_bin_117	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea sp000403455
DonA_bin_118	Bin	NA	NA	NA	NA	NA	NA	NA
