A1E02M01.mp.profile	A1E02M02.mp.profile	A1E02M04.mp.profile	A1E02M05.mp.profile	A1E02M07.mp.profile	A1E02M08.mp.profile	A1E02P1.mp.profile	A1E02P2.mp.profile	A1E03M01.mp.profile	A1E03M02.mp.profile	A1E03M05.mp.profile	A1E03M06.mp.profile	A1E03P1.mp.profile	A1E03P2.mp.profile	A1E03P3.mp.profile	A1E03P4.mp.profile	A1E04M01.mp.profile	A1E04M02.mp.profile	A1E04M04.mp.profile	A1E04M05.mp.profile	A1E04M07.mp.profile	A1E04M08.mp.profile	A1E04P1.mp.profile	A1E04P2.mp.profile	A1E04P3.mp.profile	A1E04P4.mp.profile	A1E09F1.mp.profile	A1E09F2.mp.profile	A1E09M01.mp.profile	A1E09M02.mp.profile	A1E09M06.mp.profile	A1E09M07.mp.profile	A1E09M1.mp.profile	A1E09M2.mp.profile	A1E10F.mp.profile	A1E10M01.mp.profile	A1E10M02.mp.profile	A1E10M04.mp.profile	A1E10M05.mp.profile	A1E10M.mp.profile	A1E12F.mp.profile	A1E12M01.mp.profile	A1E12M02.mp.profile	A1E12M05.mp.profile	A1E12M06.mp.profile	A1E12M.mp.profile	Wild116.mp.profile	X608.mp.profile
A1E02M01.mp.profile	0	11.485106416618	11.6321496720952	12.0954290095795	19.4101211447619	12.4079487978615	14.9491028616386	17.6386063235254	16.0956968273313	16.5167725108971	17.6365306736768	20.3379402011768	21.3256275431592	19.9832867027003	17.9001358150443	18.3367058022406	22.5155257079886	16.7051534009533	21.8522918273323	15.8131414443125	13.5993367773198	13.6988611785891	18.726655045758	16.2389389175358	17.3304864050579	16.8027509535554	18.2078363024093	16.0984703696744	20.9221197940313	18.9634408450892	16.5939134532293	18.0686936732111	15.9108194998241	17.0120922880527	16.5398758913092	20.154040142988	16.5406620325872	17.2969329265406	17.8205101904609	12.6748906083109	18.7668007580918	17.6513611223097	16.5646026649133	17.8119151955456	17.1437255116173	16.7175559845111	22.0253377630739	21.5476195168795
A1E02M02.mp.profile	11.485106416618	0	13.1262588481422	15.0170795532193	20.1680855667551	13.7321574673621	16.5014947767591	20.1419745905929	17.7282351688793	19.1226444787772	20.9105983190419	21.7867229381388	24.0823756568079	23.3337092119038	20.1420421288283	20.8603375859419	24.4568636479967	18.2413326212617	23.5712957047508	17.9137417215364	14.7789643101406	14.1634588842314	19.7459913920944	17.1449583756698	19.2143259239292	18.0404186097803	20.7643230946667	18.7044731301351	21.9729171306886	19.4283209734401	18.8732513332852	19.2831756431721	18.6709005173743	20.4994607464034	18.480446114087	21.451278993498	17.7154430328554	18.4391694343271	19.437343371343	14.5020654854657	21.2837940730575	16.8663996755271	16.0942090421502	19.5129210587677	19.4637598075624	19.9748950644546	25.1527268970482	23.9991879723466
A1E02M04.mp.profile	11.6321496720952	13.1262588481422	0	13.4256018024818	18.3087952554534	10.9449159726746	13.57864098016	17.6625220828263	14.5835118092752	16.0802055253189	17.2530138939009	18.403159843291	21.4973821848044	21.1351428100698	17.3688019544368	17.2599833285741	23.2087200187683	17.6217851342275	22.7949167172836	17.2515586391541	13.0759677244942	10.8401170382517	16.8148644350729	15.5233766281732	17.5663744256218	14.5334619039824	17.8282130118135	15.3691888962079	21.4009539874577	18.6743142378737	16.0709357589176	16.6499677917757	15.1570490654737	17.2781708390335	15.6192599849461	20.5068230350946	16.46530037502	17.2565530651237	17.119568829813	11.2756491350163	18.8257574104786	16.8139001313126	16.3967344840514	16.4627493809703	16.4025227573756	16.9455937363827	21.8161945495686	22.3141976992446
A1E02M05.mp.profile	12.0954290095795	15.0170795532193	13.4256018024818	0	19.7560740630207	15.5088506647566	15.778159063183	18.7246839692091	16.5835999272316	17.0069264632766	17.9097555608804	18.7428195561039	21.03020373362	20.1150572975027	17.0229491979845	17.8702715883448	21.6042890532651	18.6031165738102	22.1767495240861	17.9023074501632	16.2522765283509	16.1562171031884	18.3105518596541	17.578600064865	18.399928775959	15.7635259043257	18.596323696731	15.9225910427488	21.321185054054	19.1571007202149	19.6069658702436	18.3187114272408	17.0482082994468	17.3903959054374	18.3970140322427	20.3548372268912	18.1194958199813	18.2518160697382	18.5926316650616	14.1302845586785	19.8200118489227	17.1668596414975	18.3901667231521	18.4580221117413	16.0634565300474	17.518469118451	21.4525773555412	21.8649788961042
A1E02M07.mp.profile	19.4101211447619	20.1680855667551	18.3087952554534	19.7560740630207	0	17.8346374423256	18.8125628482205	21.7372176013202	18.7489657000836	20.4432064491474	23.3179113974183	21.7564376420188	25.4829299750017	25.0996481387897	22.0689955473235	22.8293506925331	22.9926884250601	20.1365473221899	21.8590984398086	20.6116511121155	17.8076355608691	17.7668249544938	21.2798241172646	18.9938416858067	21.5252783482543	20.9709873055163	23.3965229775917	19.9639452591884	19.2710208898136	18.3319425298309	19.0564736066089	18.667402353362	19.4427940775656	23.4003312482916	19.2552880758511	18.3385261123322	18.7440778770124	17.6632755286067	16.7561687826181	16.7812426785406	20.4300939357172	20.9416780611907	18.7798792269079	18.3509576561781	18.4449822840045	21.9166096372643	24.4255571294307	20.4394584573989
A1E02M08.mp.profile	12.4079487978615	13.7321574673621	10.9449159726746	15.5088506647566	17.8346374423256	0	14.4043670429473	17.966751449559	15.4538240743205	16.4409193191594	18.3814436877316	19.2736598310666	22.3243985015058	21.268913014816	18.2249097400138	18.4373682377356	22.6060327029703	16.7413098367941	22.0642223132316	17.508098780691	14.4505887244959	12.6361077781664	16.2731797112264	13.9784703684363	16.1138713595708	15.9923080098981	18.7579205215096	16.7024640372143	19.9461692823877	18.1029600989902	16.1105515182194	15.7210141034858	16.0115302802864	18.767243746486	14.9592294369684	20.4069974028742	15.5419371962415	16.4262769041318	16.4442581875626	11.5788362805953	18.0217222152604	15.8896162762846	14.9366970880571	15.6968615019042	17.0436994790747	17.0207343520847	22.7163762517045	20.9278822908668
A1E02P1.mp.profile	14.9491028616386	16.5014947767591	13.57864098016	15.778159063183	18.8125628482205	14.4043670429473	0	13.369585509464	15.2097512876758	15.9666801465197	16.997367606282	17.8653742522489	20.6738193109462	20.2108814448832	15.9468737735982	16.3884235960661	20.7467259228012	15.2660915812247	19.6161178808452	15.9142723485787	15.0817492017104	15.0221435572689	18.005784739565	15.3528018545206	16.0332013820118	16.0775171092267	16.968645958402	14.2946446631833	20.9768493228477	18.9452282564362	15.4007070850268	15.922610907243	14.7578317949807	16.4272513426787	10.1126710924561	18.8679613391657	15.026608480481	16.7209199587738	14.6778111075953	9.94569942785274	16.1458849248617	19.2527816028778	17.6512780437463	16.5848424125656	16.0720341923029	15.8745359533692	20.029138759337	17.4465363924409
A1E02P2.mp.profile	17.6386063235254	20.1419745905929	17.6625220828263	18.7246839692091	21.7372176013202	17.966751449559	13.369585509464	0	19.8779859330592	18.372715291864	19.1874119726906	20.3262237271434	22.4780708115832	22.2062255302907	18.7298348626427	19.450263233618	20.404566996244	15.8043554595052	18.9935935545171	17.274264142389	18.7183789493202	19.1969704893136	21.8774448599343	18.2687390776001	17.3382530348572	19.8562771135291	18.6179829974371	17.442098656467	23.0506717628204	22.4105555472215	18.7989462166197	19.811627628525	18.2565717863586	19.1795629830766	15.330254233456	20.4247539270401	17.8141131374778	19.1626276630097	16.3224077591933	15.1310238240213	18.4665927710419	22.7330186757404	21.646234120614	20.0654946865957	17.9767838434303	17.2546123167536	22.2140587609003	19.0841984557783
A1E03M01.mp.profile	16.0956968273313	17.7282351688793	14.5835118092752	16.5835999272316	18.7489657000836	15.4538240743205	15.2097512876758	19.8779859330592	0	13.5407322629944	18.7758509757902	19.7152734851537	22.4544941240652	22.5173892166304	18.2924744376553	17.9566240018465	22.7627300531025	18.6828331540943	22.6547974966766	17.9166935986659	14.7324175476726	16.0929988680073	17.8052909674106	16.322629655889	18.7369512240202	16.5857639269838	19.9099920657075	16.8572961565513	21.67539233876	18.4701421438665	17.7613459767428	16.9109895443814	15.666521617251	19.5185532630141	16.5918991035448	20.7652629219845	18.0692596655445	19.1571435311952	18.4198904447014	13.2249167968337	19.0015125642185	18.7143591984343	17.870493958436	17.5306492883103	17.6969457784731	17.4650091158412	22.104693270503	21.2697910520658
A1E03M02.mp.profile	16.5167725108971	19.1226444787772	16.0802055253189	17.0069264632766	20.4432064491474	16.4409193191594	15.9666801465197	18.372715291864	13.5407322629944	0	17.8721205760079	18.2400211073526	22.1321747632865	20.7407716641134	18.1412329241436	18.0363212925091	19.3272418060767	16.948618135872	20.7691825422561	16.6419506856443	15.5843773166163	17.3341336280878	19.4848190035608	18.2783325060517	19.3390056640965	17.1783333684406	17.7280799125427	16.47430578269	21.4247412394984	18.6118447962721	16.5893416555866	16.7158253457185	15.894530026916	18.4444279993291	16.9529827944942	19.4673644264089	18.1009060371565	18.7843354755979	18.2263921658302	14.0983811685763	18.2383433279404	20.3769079146838	20.3394971160538	18.5568235210133	17.5363874026963	16.4380586076524	19.3754180189381	20.5485302144995
