A1E02M01.mp.profile	A1E02M02.mp.profile	A1E02M04.mp.profile	A1E02M05.mp.profile	A1E02M07.mp.profile	A1E02M08.mp.profile	A1E02P1.mp.profile	A1E02P2.mp.profile	A1E03M01.mp.profile	A1E03M02.mp.profile	A1E03M05.mp.profile	A1E03M06.mp.profile	A1E03P1.mp.profile	A1E03P2.mp.profile	A1E03P3.mp.profile	A1E03P4.mp.profile	A1E04M01.mp.profile	A1E04M02.mp.profile	A1E04M04.mp.profile	A1E04M05.mp.profile	A1E04M07.mp.profile	A1E04M08.mp.profile	A1E04P1.mp.profile	A1E04P2.mp.profile	A1E04P3.mp.profile	A1E04P4.mp.profile	A1E09F1.mp.profile	A1E09F2.mp.profile	A1E09M01.mp.profile	A1E09M02.mp.profile	A1E09M06.mp.profile	A1E09M07.mp.profile	A1E09M1.mp.profile	A1E09M2.mp.profile	A1E10F.mp.profile	A1E10M01.mp.profile	A1E10M02.mp.profile	A1E10M04.mp.profile	A1E10M05.mp.profile	A1E10M.mp.profile	A1E12F.mp.profile	A1E12M01.mp.profile	A1E12M02.mp.profile	A1E12M05.mp.profile	A1E12M06.mp.profile	A1E12M.mp.profile	Wild116.mp.profile	X608.mp.profile
A1E02M01.mp.profile	0	0.157606042119698	0.302284609314617	0.195864479379672	0.452231917834788	0.272407781722335	0.485290025735499	0.454152809169438	0.273650463682523	0.311731896759784	0.332353566764643	0.521304771804284	0.548607190278562	0.587531120623444	0.570202814040563	0.567142213428442	0.621271132555103	0.44904143773964	0.541516022924199	0.389222469461123	0.286472642705472	0.24373494874699	0.483544803291039	0.4116464	0.4206419	0.494134625293269	0.609792439020756	0.617947457307881	0.5222279	0.493577449357745	0.415140641514064	0.428212314357537	0.603299359505096	0.597928960310656	0.5778764	0.511786124410694	0.375263462473654	0.481126951887305	0.480873677868949	0.632750718362464	0.462072719310908	0.433336143333614	0.347379765262023	0.410882364352946	0.510033024498349	0.355393167769658	0.598976039846406	0.564881578244079
A1E02M02.mp.profile	0.157606042119698	0	0.214662196334451	0.268622553724511	0.443468988693798	0.289757751415213	0.4726084	0.451043482343478	0.280663628066363	0.280769956153991	0.285819135709043	0.488196751180325	0.55293346705998	0.636807499999999	0.564354591088648	0.554643488660872	0.626258312122507	0.407833518433296	0.5342257	0.372850937285094	0.271016009347599	0.200013700003425	0.429732185540172	0.354414567720728	0.364174168208708	0.4462644	0.596154420192279	0.597834640216536	0.507042175352109	0.484402222660333	0.388260508239076	0.398775190183722	0.598242840175716	0.561923043807695	0.528736676436834	0.523472	0.343935832803208	0.484287825785609	0.487753451224655	0.6025761	0.419254283850857	0.365463004819451	0.302663534866823	0.40942913424311	0.5021074	0.322518032251803	0.604956620991324	0.554828855482886
A1E02M04.mp.profile	0.302284609314617	0.214662196334451	0	0.334663933266803	0.496946325152684	0.317520831752083	0.519218820195295	0.534764586094166	0.262477510628373	0.288123935593803	0.274753817573855	0.529164564792403	0.450681119727552	0.655686186078453	0.4534702	0.4380947	0.703374263144156	0.525091413708864	0.636249790937553	0.503443974483404	0.287437885024846	0.2098332	0.308212176715129	0.350023929995214	0.395600420879916	0.343423164144209	0.591028822691353	0.471154385095965	0.605592878881425	0.563442643655735	0.374252062574794	0.395628041748783	0.486656779670127	0.493921177127588	0.536924192615161	0.590143002464249	0.43639576908127	0.544251936724419	0.556093655367221	0.585562803609299	0.449023227548838	0.404672059532794	0.408997977300607	0.447689689537938	0.551206612198347	0.355268296709756	0.602559219872039	0.587693161846025
A1E02M05.mp.profile	0.195864479379672	0.268622553724511	0.334663933266803	0	0.458550883420353	0.261727193949957	0.51074090214818	0.460711273035564	0.298561889568567	0.354298541719417	0.320553898083085	0.490029349002935	0.512060275603014	0.532487906497581	0.547499496374773	0.532818989768545	0.581782441821756	0.4641762	0.562522312504462	0.44802883440865	0.306884965344248	0.293800482210217	0.521827176091359	0.411339252834813	0.385371346342836	0.525260905052181	0.57396493609474	0.602106160210616	0.51871587967897	0.485436619902817	0.463699712294899	0.425529871276494	0.612031661203166	0.568762756876276	0.5900835975209	0.538284507656902	0.437729615659442	0.496911724536759	0.508936150893615	0.635468427093685	0.466286686514675	0.405412591894407	0.386357707953656	0.424167425708826	0.473255194651039	0.405420121626036	0.578577131430853	0.528709558612868
A1E02M07.mp.profile	0.452231917834788	0.443468988693798	0.496946325152684	0.458550883420353	0	0.415674978621238	0.512296102459221	0.493939474696974	0.464383839315152	0.471313388525355	0.523666528549979	0.587388358738836	0.687554284377714	0.673275234655047	0.701808165813675	0.694492362521563	0.589677141032286	0.3898342	0.525625705125141	0.405860321758097	0.434696971734849	0.448694051912323	0.597298779864939	0.484023371005843	0.503765175941294	0.607298921459784	0.707564856134728	0.745399374539937	0.369020942255235	0.413908594868009	0.479842417944846	0.453552472677623	0.691982369198237	0.735661673566168	0.541221285305321	0.450307490061498	0.369091705363756	0.410243511536527	0.383828938382894	0.633504726700945	0.448907879563152	0.440185904065067	0.376915506537326	0.341152871749367	0.455068091013618	0.486226945868084	0.669856267942507	0.508906752672026
A1E02M08.mp.profile	0.272407781722335	0.289757751415213	0.317520831752083	0.261727193949957	0.415674978621238	0	0.423470298214605	0.480017696003539	0.278014275106424	0.345169439843192	0.346900304070091	0.547809186952297	0.580139516027903	0.622754167963959	0.591814555088733	0.601060260636156	0.662373283118664	0.463880319582048	0.618109266338243	0.48195386687924	0.261709752341951	0.238898343339006	0.453472690694538	0.282282212912886	0.324039429615772	0.501196425418749	0.631395989418797	0.653687413421854	0.482194592877837	0.417584908792454	0.434134617067309	0.413962982792596	0.622422605605651	0.660358515089629	0.480319092127637	0.577846152246153	0.412441623732487	0.526266557879968	0.526785681696421	0.479611817864136	0.441776392977016	0.301324950662475	0.2225246667574	0.286912029529623	0.500542925190024	0.381484121667855	0.644237704330737	0.53063788878705
A1E02P1.mp.profile	0.485290025735499	0.4726084	0.519218820195295	0.51074090214818	0.512296102459221	0.423470298214605	0	0.292441006133849	0.482202548220255	0.509481601896321	0.511902524404874	0.675824732417527	0.7897273315409	0.8034786	0.784492846123211	0.816879254219813	0.624250012724996	0.480446703910659	0.5754964	0.488188148818815	0.452767582084863	0.458213464553366	0.688825546676168	0.479630173981509	0.481765574088279	0.6690004	0.846352107682395	0.848621115137888	0.557462377873119	0.440008616001292	0.494300424145064	0.56380106542984	0.839013416098658	0.844956215504379	0.243368762168438	0.5365138	0.458574027071299	0.531649323417534	0.519150648084935	0.281507	0.529966305993262	0.526362528954379	0.396713230164338	0.422777540249893	0.5491334	0.523724052372405	0.806089461217892	0.413571041357104
A1E02P2.mp.profile	0.454152809169438	0.451043482343478	0.534764586094166	0.460711273035564	0.493939474696974	0.480017696003539	0.292441006133849	0	0.527633623618319	0.515661875783094	0.49604280079144	0.617601695599576	0.763089371073189	0.759804336029349	0.794140979414098	0.789949378994938	0.50788042145381	0.383230715869249	0.423793686430947	0.393176530341174	0.438316168505149	0.447060044706005	0.724953582513925	0.497480450251955	0.454866954513305	0.687283846907423	0.774981145003771	0.83093284226679	0.500657049934295	0.4901631	0.4617819	0.507160447851866	0.853373436656641	0.802135949466012	0.366300063369994	0.396724390491341	0.379130124173975	0.418922716215457	0.406953848261538	0.508260273760959	0.502781275139064	0.5118118	0.447077610584478	0.460382038114612	0.498946375158044	0.522079523896024	0.78774278938714	0.304995234750238
A1E03M01.mp.profile	0.273650463682523	0.280663628066363	0.262477510628373	0.298561889568567	0.464383839315152	0.278014275106424	0.482202548220255	0.527633623618319	0	0.172572151771645	0.252143862607193	0.4697449	0.498064125096794	0.584872858487286	0.539158338705419	0.528201834870642	0.649235670152866	0.521419147858086	0.630989363098936	0.466726793345359	0.268571536571423	0.245908536067988	0.401944829902758	0.361941904291286	0.386849708027456	0.428949242894924	0.582873479143674	0.5738718	0.58770113815517	0.540887685221921	0.341604335401084	0.367800231609988	0.536048	0.562048	0.525733628860044	0.567057856705786	0.439406671970334	0.547981377399069	0.5437346	0.566621656662166	0.407097022129107	0.390763847690962	0.404240370212019	0.42161278188703	0.531730653173065	0.296803859360771	0.55479216643765	0.545887409177482
A1E03M02.mp.profile	0.311731896759784	0.280769956153991	0.288123935593803	0.354298541719417	0.471313388525355	0.345169439843192	0.509481601896321	0.515661875783094	0.172572151771645	0	0.257174588576188	0.471048347104835	0.491769274588463	0.596464419292884	0.551392298126534	0.519420983739442	0.576173442382656	0.5111246	0.597835519567104	0.436955331086599	0.261574463078723	0.258086366138865	0.412441770622089	0.377389644347411	0.384303546075886	0.431221786244357	0.523181628477244	0.564650056465006	0.588319097079774	0.538502538475888	0.274700746145261	0.313447465672373	0.484662748466275	0.521767852176785	0.563394590848648	0.520685604137121	0.439957615993642	0.493902524085378	0.500853050085305	0.639794527958906	0.365685246274098	0.454085108929788	0.438537515780627	0.428760428694278	0.529584605916922	0.252832975849893	0.507086902834761	0.538342061502618
