#mpa_vJan21_CHOCOPhlAnSGB_202103
clade_name	A1E02M01.mp.profile	A1E02M02.mp.profile	A1E02M04.mp.profile	A1E02M05.mp.profile	A1E02M07.mp.profile	A1E02M08.mp.profile	A1E02P1.mp.profile	A1E02P2.mp.profile	A1E03M01.mp.profile	A1E03M02.mp.profile	A1E03M05.mp.profile	A1E03M06.mp.profile	A1E03P1.mp.profile	A1E03P2.mp.profile	A1E03P3.mp.profile	A1E03P4.mp.profile	A1E04M01.mp.profile	A1E04M02.mp.profile	A1E04M04.mp.profile	A1E04M05.mp.profile	A1E04M07.mp.profile	A1E04M08.mp.profile	A1E04P1.mp.profile	A1E04P2.mp.profile	A1E04P3.mp.profile	A1E04P4.mp.profile	A1E09F1.mp.profile	A1E09F2.mp.profile	A1E09M01.mp.profile	A1E09M02.mp.profile	A1E09M06.mp.profile	A1E09M07.mp.profile	A1E09M1.mp.profile	A1E09M2.mp.profile	A1E10F.mp.profile	A1E10M01.mp.profile	A1E10M02.mp.profile	A1E10M04.mp.profile	A1E10M05.mp.profile	A1E10M.mp.profile	A1E12F.mp.profile	A1E12M01.mp.profile	A1E12M02.mp.profile	A1E12M05.mp.profile	A1E12M06.mp.profile	A1E12M.mp.profile	Wild116.mp.profile	X608.mp.profile
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Bacteroidetes	58.5491	66.96663	78.23429	54.67786	45.80278	70.42617	65.49645	46.92156	63.97106	58.4792	69.11613	56.9878	60.89813	28.74427	75.79903	66.44982	15.53979	44.25826	31.9557	41.70194	64.70745	75.47223	80.61328	75.88671	66.87852	77.51934	55.29439	80.72514	42.03149	63.12791	56.9474	54.62268	73.04696	60.53869	70.92363	25.78833	49.73611	28.4671	31.85699	88.37838	44.83324	76.33569	71.93326	55.50637	38.12816	57.416	35.90959	38.04904
k__Bacteria|p__Firmicutes	23.39784	21.42116	11.66198	21.79913	22.36397	13.28142	17.78512	33.56957	16.27069	24.42124	20.3184	24.85267	23.15382	39.85544	12.50294	21.63432	47.33595	33.57786	51.5919	37.17021	21.59563	12.02107	8.96469	13.29107	20.50242	8.80908	34.964	11.12763	31.00703	20.03556	30.78412	26.7225	15.80109	29.89888	14.49158	50.74687	31.62575	53.19713	48.57303	6.72898	42.32818	14.4856	15.14737	27.57619	48.38755	28.12329	41.41506	38.06202
k__Bacteria|p__Proteobacteria	11.94058	5.60463	4.23173	15.02976	5.87841	10.83557	6.69216	4.86897	10.57059	7.24228	3.68193	3.2543	7.47807	19.31742	6.58867	4.91156	5.75973	1.93406	1.04372	4.73198	5.88647	6.9544	5.01723	2.25927	2.76747	4.76246	2.17615	2.74178	6.98442	4.61376	1.56497	1.73511	7.34898	2.92795	1.25382	1.8649	1.42351	3.93414	1.7559	1.17684	1.25869	2.45421	5.76798	7.15868	2.52273	5.09781	7.36638	2.5128
k__Bacteria|p__Candidatus_Saccharibacteria	2.58356	2.6668	3.37399	0.73581	10.87277	1.85621	3.46924	4.62906	2.53098	2.89914	0.02344	0.0	0.0	0.0	0.0	0.0	0.01403	10.5655	3.18155	7.4304	2.19874	2.58915	2.22486	3.35346	1.52158	4.78175	0.0	0.0	8.42409	1.39821	4.70901	6.70597	0.0	0.0	7.30711	5.5141	8.3698	3.95947	6.75991	1.36373	4.28637	0.06597	3.23472	5.22772	0.01846	3.39198	0.0	5.62603
k__Bacteria|p__Bacteria_unclassified	1.55292	1.58434	0.9285	5.33011	3.12204	0.91189	4.85056	8.70346	3.87848	4.69384	5.07812	9.16335	6.71252	9.68422	3.64729	5.23135	28.46089	7.38059	8.11323	7.1715	2.31466	1.22445	1.2079	2.59557	6.58187	3.2132	7.07513	3.63522	1.03689	1.68988	3.30154	6.12048	2.27199	5.99399	3.46294	6.56843	4.54629	4.07193	4.54798	0.38068	4.6984	4.2121	1.37209	1.71189	8.37935	4.5815	10.56699	12.40823
k__Bacteria|p__Deferribacteres	0.99389	0.15094	0.30421	0.70797	0.17174	0.5098	0.0	0.0	0.58474	0.36896	0.47126	0.1345	0.32798	1.09189	0.20223	0.22391	0.12741	0.0	0.0	0.0	0.06757	0.03154	0.26994	0.15948	0.16194	0.07347	0.03786	0.17463	0.89453	0.0646	0.05722	0.0123	0.05196	0.2026	0.0	0.0	0.0	0.1854	0.0	0.0	0.07268	0.32356	0.28567	0.02878	0.109	0.23169	0.35576	0.0
k__Bacteria|p__Actinobacteria	0.98211	1.60549	1.26531	1.71934	11.78829	2.17895	1.70647	1.30738	2.19346	1.89534	1.31072	5.60739	1.42949	1.30677	1.25984	1.54903	2.76219	2.28373	4.1139	1.79396	3.22949	1.70715	1.7021	2.45444	1.5862	0.84071	0.45246	1.59559	9.62155	9.07008	2.63575	4.08096	1.47902	0.43788	2.56092	9.51737	4.29853	6.18483	6.5062	1.97139	2.52244	2.12288	2.2589	2.79038	2.45476	1.15772	4.38622	3.34188
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	56.82144	65.03576	75.74032	52.79582	43.30078	67.16082	58.88815	42.0137	59.63362	54.33678	63.18248	55.57543	60.32168	28.74427	75.79903	65.76912	14.49131	41.85255	29.96655	39.53989	61.10276	71.3384	75.85514	70.1221	60.22586	70.94886	46.12455	75.05877	39.78658	59.67017	52.46252	50.97534	70.02329	53.59751	64.39798	23.73718	47.25962	25.54885	28.79191	82.52524	40.15672	73.57738	68.85215	50.57001	35.24019	51.09121	34.18722	33.10282
k__Bacteria|p__Firmicutes|c__Clostridia	14.5205	12.17979	5.44053	14.4984	10.12295	6.78519	10.54677	22.05308	9.44306	12.75431	12.77734	18.55248	15.56683	21.38907	6.80577	12.30894	29.65519	22.30209	40.47544	24.19513	12.44645	6.67302	5.68271	8.28008	12.23454	4.31419	25.08713	5.76213	23.79484	13.08628	19.02666	7.95976	5.17778	21.95355	7.59223	27.53603	19.47171	22.44543	20.11628	3.56711	17.89167	7.74719	9.50613	9.9303	16.93615	13.77055	18.16569	19.55525
