#mpa_vJan21_CHOCOPhlAnSGB_202103
#clade_name	relative_abundance
d__Bacteria	98.96007999999999
d__Bacteria;p__Campylobacterota	4.8064800000000005
d__Bacteria;p__Bacteroidota	66.96665999999999
d__Bacteria;p__Firmicutes_A	19.90182
d__Bacteria;p__Patescibacteria	2.6668
d__Bacteria;p__Firmicutes	1.96488
d__Bacteria;p__Deferribacterota	0.15094
d__Bacteria;p__Firmicutes_B	0.57527
d__Bacteria;p__Actinobacteriota	1.1290900000000001
d__Bacteria;p__Desulfobacterota_I	0.70337
d__Bacteria;p__Proteobacteria	0.09477
d__Bacteria;p__Campylobacterota;c__Campylobacteria	4.8064800000000005
d__Bacteria;p__Bacteroidota;c__Bacteroidia	66.96665999999999
d__Bacteria;p__Firmicutes_A;c__Clostridia	19.90182
d__Bacteria;p__Patescibacteria;c__Saccharimonadia	2.6668
d__Bacteria;p__Firmicutes;c__Bacilli	1.96488
d__Bacteria;p__Deferribacterota;c__Deferribacteres	0.15094
d__Bacteria;p__Firmicutes_B;c__Dehalobacteriia	0.57527
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	1.1290900000000001
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia	0.70337
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.09477
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	0.0
d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales	4.8064800000000005
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	66.96665999999999
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	12.265210000000002
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales	4.1882
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales	2.6668
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	1.56911
d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales	0.15094
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	2.8669200000000004
d__Bacteria;p__Firmicutes_B;c__Dehalobacteriia;o__UBA4068	0.57527
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	1.1290900000000001
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales	0.58149
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales	0.70337
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	0.09477
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	0.35026999999999997
d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales_A	0.0455
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales	0.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0.0
d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae	4.8064800000000005
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae	50.175419999999995
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	11.3721
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	12.095540000000002
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae	2.38279
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae	5.41914
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Nanosyncoccaceae	2.6668
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	1.56911
d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae	0.15094
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae	0.38716
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	1.28777
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-552	0.8813
