Sample	feature	coverage
A1E02M01	DonA_UnBin	26.38
A1E02M01	DonA_bin_1	51.77
A1E02M01	DonA_bin_10	2.95
A1E02M01	DonA_bin_100	23.26
A1E02M01	DonA_bin_101	45.55
A1E02M01	DonA_bin_102	68.3
A1E02M01	DonA_bin_103	81.16
A1E02M01	DonA_bin_104	68.36
A1E02M01	DonA_bin_105	17.33
A1E02M01	DonA_bin_106	70.51
A1E02M01	DonA_bin_107	17.84
A1E02M01	DonA_bin_108	16.61
A1E02M01	DonA_bin_109	99
A1E02M01	DonA_bin_11	25.61
A1E02M01	DonA_bin_110	13.21
A1E02M01	DonA_bin_111	60.96
A1E02M01	DonA_bin_112	38.63
A1E02M01	DonA_bin_113	55.4
A1E02M01	DonA_bin_114	88.56
A1E02M01	DonA_bin_115	9.91
A1E02M01	DonA_bin_116	6.91
A1E02M01	DonA_bin_117	9.12
A1E02M01	DonA_bin_118	25.73
A1E02M01	DonA_bin_119	21.31
A1E02M01	DonA_bin_12	99.84
A1E02M01	DonA_bin_120	35.56
A1E02M01	DonA_bin_121	35.41
A1E02M01	DonA_bin_122	60.61
A1E02M01	DonA_bin_123	99.06
A1E02M01	DonA_bin_124	61.61
A1E02M01	DonA_bin_125	10.21
A1E02M01	DonA_bin_126	80.93
A1E02M01	DonA_bin_127	36.91
A1E02M01	DonA_bin_128	25.25
A1E02M01	DonA_bin_129	29.29
A1E02M01	DonA_bin_13	29.84
A1E02M01	DonA_bin_130	24.17
A1E02M01	DonA_bin_131	16.34
A1E02M01	DonA_bin_132	49.86
A1E02M01	DonA_bin_133	75.09
A1E02M01	DonA_bin_14	46.31
A1E02M01	DonA_bin_15	48.84
A1E02M01	DonA_bin_16	99.69
A1E02M01	DonA_bin_17	15.25
A1E02M01	DonA_bin_18	44.84
A1E02M01	DonA_bin_19	44.34
A1E02M01	DonA_bin_2	86.61
A1E02M01	DonA_bin_20	4.97
A1E02M01	DonA_bin_21	10.07
A1E02M01	DonA_bin_22	37.06
A1E02M01	DonA_bin_23	42.1
A1E02M01	DonA_bin_24	50.04
A1E02M01	DonA_bin_25	35.84
A1E02M01	DonA_bin_26	16.38
A1E02M01	DonA_bin_27	57.72
A1E02M01	DonA_bin_28	80.62
A1E02M01	DonA_bin_29	41.54
A1E02M01	DonA_bin_3	98.25
A1E02M01	DonA_bin_30	99.74
