Sample	raw_count	Group	Category	Donor	feature	Cage	order	log_count	feature_size	z_count	prop_count	zprop_count
A1E02M01	21	AB	Pup	DonorA	Bin	cageP	first	3.04452243772342	46	0.976941244392327	0.456521739130435	0.9154749693097
A1E02M02	19	AB	Pup	DonorA	Bin	cageP	first	2.94443897916644	46	0.623981827063486	0.41304347826087	0.538447071635248
A1E02M04	18	AB	Pup	DonorA	Bin	cageE	first	2.89037175789616	46	0.447502118399066	0.391304347826087	0.349933122798022
A1E02M05	23	AB	Pup	DonorA	Bin	cageE	first	3.13549421592915	46	1.32990066172117	0.5	1.29250286698415
A1E02M07	22	AB	Pup	DonorA	Bin	cage312	first	3.09104245335832	46	1.15342095305675	0.478260869565217	1.10398891814693
A1E02M08	21	AB	Pup	DonorA	Bin	cage312	first	3.04452243772342	46	0.976941244392327	0.456521739130435	0.9154749693097
A1E03M01	18	BA	Pup	DonorA	Bin	cage364	second	2.89037175789616	46	0.447502118399066	0.391304347826087	0.349933122798022
A1E03M02	18	BA	Pup	DonorA	Bin	cage364	second	2.89037175789616	46	0.447502118399066	0.391304347826087	0.349933122798022
A1E03M05	18	BA	Pup	DonorA	Bin	cage169	second	2.89037175789616	46	0.447502118399066	0.391304347826087	0.349933122798022
A1E03M06	8	BA	Pup	DonorA	Bin	cage169	second	2.07944154167984	46	-1.31729496824514	0.173913043478261	-1.53520636557424
A1E04M01	20	ABAB	Pup	DonorA	Bin	cage33	mixed	2.99573227355399	46	0.800461535727907	0.434782608695652	0.726961020472474
A1E04M02	18	ABAB	Pup	DonorA	Bin	cage33	mixed	2.89037175789616	46	0.447502118399066	0.391304347826087	0.349933122798022
A1E04M04	15	ABAB	Pup	DonorA	Bin	cage44	mixed	2.70805020110221	46	-0.081937007594195	0.326086956521739	-0.215608723713657
A1E04M05	16	ABAB	Pup	DonorA	Bin	cage44	mixed	2.77258872223978	46	0.0945427010702253	0.347826086956522	-0.0270947748764306
A1E04M07	18	ABAB	Pup	DonorA	Bin	cage41	mixed	2.89037175789616	46	0.447502118399066	0.391304347826087	0.349933122798022
A1E04M08	18	ABAB	Pup	DonorA	Bin	cage41	mixed	2.89037175789616	46	0.447502118399066	0.391304347826087	0.349933122798022
A1E09M01	18	BA	Pup	DonorA	Bin	cage1	second	2.89037175789616	46	0.447502118399066	0.391304347826087	0.349933122798022
A1E09M02	19	BA	Pup	DonorA	Bin	cage1	second	2.94443897916644	46	0.623981827063486	0.41304347826087	0.538447071635248
A1E09M06	20	BA	Pup	DonorA	Bin	cage6	second	2.99573227355399	46	0.800461535727907	0.434782608695652	0.726961020472474
A1E09M07	19	BA	Pup	DonorA	Bin	cage6	second	2.94443897916644	46	0.623981827063486	0.41304347826087	0.538447071635248
A1E10M01	26	AB	Pup	DonorA	Bin	cageNC	first	3.25809653802148	46	1.85933978771443	0.565217391304348	1.85804471349583
A1E10M02	26	AB	Pup	DonorA	Bin	cageNC	first	3.25809653802148	46	1.85933978771443	0.565217391304348	1.85804471349583
A1E10M04	26	AB	Pup	DonorA	Bin	cage5	first	3.25809653802148	46	1.85933978771443	0.565217391304348	1.85804471349583
A1E10M05	26	AB	Pup	DonorA	Bin	cage5	first	3.25809653802148	46	1.85933978771443	0.565217391304348	1.85804471349583
A1E12M01	19	ABAB	Pup	DonorA	Bin	cage12	mixed	2.94443897916644	46	0.623981827063486	0.41304347826087	0.538447071635248
A1E12M02	22	ABAB	Pup	DonorA	Bin	cage12	mixed	3.09104245335832	46	1.15342095305675	0.478260869565217	1.10398891814693
A1E12M05	19	ABAB	Pup	DonorA	Bin	cageC	mixed	2.94443897916644	46	0.623981827063486	0.41304347826087	0.538447071635248
A1E12M06	23	ABAB	Pup	DonorA	Bin	cageC	mixed	3.13549421592915	46	1.32990066172117	0.5	1.29250286698415
A1E02M01	11	AB	Pup	DonorB	Bin	cageP	second	2.39789527279837	41	-0.787855842251876	0.268292682926829	-0.716779953549209
A1E02M02	10	AB	Pup	DonorB	Bin	cageP	second	2.30258509299405	41	-0.964335550916297	0.24390243902439	-0.928283408342195
A1E02M04	10	AB	Pup	DonorB	Bin	cageE	second	2.30258509299405	41	-0.964335550916297	0.24390243902439	-0.928283408342195
A1E02M05	11	AB	Pup	DonorB	Bin	cageE	second	2.39789527279837	41	-0.787855842251876	0.268292682926829	-0.716779953549209
A1E02M07	7	AB	Pup	DonorB	Bin	cage312	second	1.94591014905531	41	-1.49377467690956	0.170731707317073	-1.56279377272115
A1E02M08	11	AB	Pup	DonorB	Bin	cage312	second	2.39789527279837	41	-0.787855842251876	0.268292682926829	-0.716779953549209
A1E03M01	18	BA	Pup	DonorB	Bin	cage364	first	2.89037175789616	41	0.447502118399066	0.439024390243902	0.763744230001689
A1E03M02	14	BA	Pup	DonorB	Bin	cage364	first	2.63905732961526	41	-0.258416716258615	0.341463414634146	-0.0822695891702526
A1E03M05	12	BA	Pup	DonorB	Bin	cage169	first	2.484906649788	41	-0.611376133587456	0.292682926829268	-0.505276498756224
A1E03M06	14	BA	Pup	DonorB	Bin	cage169	first	2.63905732961526	41	-0.258416716258615	0.341463414634146	-0.0822695891702526
A1E04M01	9	ABAB	Pup	DonorB	Bin	cage33	mixed	2.19722457733622	41	-1.14081525958072	0.219512195121951	-1.13978686313518
A1E04M02	11	ABAB	Pup	DonorB	Bin	cage33	mixed	2.39789527279837	41	-0.787855842251876	0.268292682926829	-0.716779953549209
A1E04M04	5	ABAB	Pup	DonorB	Bin	cage44	mixed	1.6094379124341	41	-1.8467340942384	0.121951219512195	-1.98580068230712
A1E04M05	12	ABAB	Pup	DonorB	Bin	cage44	mixed	2.484906649788	41	-0.611376133587456	0.292682926829268	-0.505276498756224
A1E04M07	14	ABAB	Pup	DonorB	Bin	cage41	mixed	2.63905732961526	41	-0.258416716258615	0.341463414634146	-0.0822695891702526
A1E04M08	11	ABAB	Pup	DonorB	Bin	cage41	mixed	2.39789527279837	41	-0.787855842251876	0.268292682926829	-0.716779953549209
A1E09M01	6	BA	Pup	DonorB	Bin	cage1	first	1.79175946922805	41	-1.67025438557398	0.146341463414634	-1.77429722751414
A1E09M02	12	BA	Pup	DonorB	Bin	cage1	first	2.484906649788	41	-0.611376133587456	0.292682926829268	-0.505276498756224
A1E09M06	16	BA	Pup	DonorB	Bin	cage6	first	2.77258872223978	41	0.0945427010702253	0.390243902439024	0.340737320415718
A1E09M07	15	BA	Pup	DonorB	Bin	cage6	first	2.70805020110221	41	-0.081937007594195	0.365853658536585	0.129233865622733
A1E10M01	6	AB	Pup	DonorB	Bin	cageNC	second	1.79175946922805	41	-1.67025438557398	0.146341463414634	-1.77429722751414
A1E10M02	11	AB	Pup	DonorB	Bin	cageNC	second	2.39789527279837	41	-0.787855842251876	0.268292682926829	-0.716779953549209
A1E10M04	8	AB	Pup	DonorB	Bin	cage5	second	2.07944154167984	41	-1.31729496824514	0.195121951219512	-1.35129031792817
A1E10M05	4	AB	Pup	DonorB	Bin	cage5	second	1.38629436111989	41	-2.02321380290282	0.0975609756097561	-2.19730413710011
A1E12M01	17	ABAB	Pup	DonorB	Bin	cage12	mixed	2.83321334405622	41	0.271022409734646	0.414634146341463	0.552240775208703
A1E12M02	12	ABAB	Pup	DonorB	Bin	cage12	mixed	2.484906649788	41	-0.611376133587456	0.292682926829268	-0.505276498756224
A1E12M05	13	ABAB	Pup	DonorB	Bin	cageC	mixed	2.56494935746154	41	-0.434896424923036	0.317073170731707	-0.293773043963238
A1E12M06	12	ABAB	Pup	DonorB	Bin	cageC	mixed	2.484906649788	41	-0.611376133587456	0.292682926829268	-0.505276498756224
A1E02M01	17	AB	Pup	DonorA	MAG	cageP	first	2.83321334405622	32	1.13888214107324	0.53125	1.12246621811751
A1E02M02	15	AB	Pup	DonorA	MAG	cageP	first	2.70805020110221	32	0.786520815658318	0.46875	0.744435497147762
A1E02M04	15	AB	Pup	DonorA	MAG	cageE	first	2.70805020110221	32	0.786520815658318	0.46875	0.744435497147762
A1E02M05	18	AB	Pup	DonorA	MAG	cageE	first	2.89037175789616	32	1.31506280378071	0.5625	1.31148157860238
A1E02M07	18	AB	Pup	DonorA	MAG	cage312	first	2.89037175789616	32	1.31506280378071	0.5625	1.31148157860238
A1E02M08	16	AB	Pup	DonorA	MAG	cage312	first	2.77258872223978	32	0.962701478365781	0.5	0.933450857632634
A1E03M01	13	BA	Pup	DonorA	MAG	cage364	second	2.56494935746154	32	0.434159490243392	0.40625	0.366404776178017
A1E03M02	14	BA	Pup	DonorA	MAG	cage364	second	2.63905732961526	32	0.610340152950855	0.4375	0.555420136662889
A1E03M05	12	BA	Pup	DonorA	MAG	cage169	second	2.484906649788	32	0.257978827535928	0.375	0.177389415693144
A1E03M06	5	BA	Pup	DonorA	MAG	cage169	second	1.6094379124341	32	-0.975285811416315	0.15625	-1.14571810770096
A1E04M01	14	ABAB	Pup	DonorA	MAG	cage33	mixed	2.63905732961526	32	0.610340152950855	0.4375	0.555420136662889
A1E04M02	15	ABAB	Pup	DonorA	MAG	cage33	mixed	2.70805020110221	32	0.786520815658318	0.46875	0.744435497147762
A1E04M04	13	ABAB	Pup	DonorA	MAG	cage44	mixed	2.56494935746154	32	0.434159490243392	0.40625	0.366404776178017
A1E04M05	13	ABAB	Pup	DonorA	MAG	cage44	mixed	2.56494935746154	32	0.434159490243392	0.40625	0.366404776178017
A1E04M07	14	ABAB	Pup	DonorA	MAG	cage41	mixed	2.63905732961526	32	0.610340152950855	0.4375	0.555420136662889
A1E04M08	14	ABAB	Pup	DonorA	MAG	cage41	mixed	2.63905732961526	32	0.610340152950855	0.4375	0.555420136662889
A1E09M01	14	BA	Pup	DonorA	MAG	cage1	second	2.63905732961526	32	0.610340152950855	0.4375	0.555420136662889
A1E09M02	15	BA	Pup	DonorA	MAG	cage1	second	2.70805020110221	32	0.786520815658318	0.46875	0.744435497147762
A1E09M06	15	BA	Pup	DonorA	MAG	cage6	second	2.70805020110221	32	0.786520815658318	0.46875	0.744435497147762
A1E09M07	13	BA	Pup	DonorA	MAG	cage6	second	2.56494935746154	32	0.434159490243392	0.40625	0.366404776178017
A1E10M01	23	AB	Pup	DonorA	MAG	cageNC	first	3.13549421592915	32	2.19596611731802	0.71875	2.25655838102674
A1E10M02	21	AB	Pup	DonorA	MAG	cageNC	first	3.04452243772342	32	1.8436047919031	0.65625	1.878527660057
A1E10M04	22	AB	Pup	DonorA	MAG	cage5	first	3.09104245335832	32	2.01978545461056	0.6875	2.06754302054187
A1E10M05	22	AB	Pup	DonorA	MAG	cage5	first	3.09104245335832	32	2.01978545461056	0.6875	2.06754302054187
A1E12M01	13	ABAB	Pup	DonorA	MAG	cage12	mixed	2.56494935746154	32	0.434159490243392	0.40625	0.366404776178017
A1E12M02	16	ABAB	Pup	DonorA	MAG	cage12	mixed	2.77258872223978	32	0.962701478365781	0.5	0.933450857632634
A1E12M05	14	ABAB	Pup	DonorA	MAG	cageC	mixed	2.63905732961526	32	0.610340152950855	0.4375	0.555420136662889
A1E12M06	17	ABAB	Pup	DonorA	MAG	cageC	mixed	2.83321334405622	32	1.13888214107324	0.53125	1.12246621811751
A1E02M01	4	AB	Pup	DonorB	MAG	cageP	second	1.38629436111989	27	-1.15146647412378	0.148148148148148	-1.19472209004889
A1E02M02	4	AB	Pup	DonorB	MAG	cageP	second	1.38629436111989	27	-1.15146647412378	0.148148148148148	-1.19472209004889
A1E02M04	3	AB	Pup	DonorB	MAG	cageE	second	1.09861228866811	27	-1.32764713683124	0.111111111111111	-1.418740295068
A1E02M05	4	AB	Pup	DonorB	MAG	cageE	second	1.38629436111989	27	-1.15146647412378	0.148148148148148	-1.19472209004889
A1E02M07	4	AB	Pup	DonorB	MAG	cage312	second	1.38629436111989	27	-1.15146647412378	0.148148148148148	-1.19472209004889
A1E02M08	5	AB	Pup	DonorB	MAG	cage312	second	1.6094379124341	27	-0.975285811416315	0.185185185185185	-0.970703885029785
A1E03M01	9	BA	Pup	DonorB	MAG	cage364	first	2.19722457733622	27	-0.270563160586462	0.333333333333333	-0.0746310649533526
A1E03M02	8	BA	Pup	DonorB	MAG	cage364	first	2.07944154167984	27	-0.446743823293925	0.296296296296296	-0.298649269972461
A1E03M05	6	BA	Pup	DonorB	MAG	cage169	first	1.79175946922805	27	-0.799105148708852	0.222222222222222	-0.746685680010677
A1E03M06	7	BA	Pup	DonorB	MAG	cage169	first	1.94591014905531	27	-0.622924486001388	0.259259259259259	-0.522667474991569
A1E04M01	6	ABAB	Pup	DonorB	MAG	cage33	mixed	1.79175946922805	27	-0.799105148708852	0.222222222222222	-0.746685680010677
A1E04M02	5	ABAB	Pup	DonorB	MAG	cage33	mixed	1.6094379124341	27	-0.975285811416315	0.185185185185185	-0.970703885029785
A1E04M04	5	ABAB	Pup	DonorB	MAG	cage44	mixed	1.6094379124341	27	-0.975285811416315	0.185185185185185	-0.970703885029785
