DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	example_heatmap
COLOR	#ff0000
FIELD_LABELS	A	AB	AB-2	AB-3	AB-4	AB-5	AB-6	AB-7	AB-8	AB-9	AB0	ABAB	ABAB-2	ABAB-3	ABAB-4	ABAB-5	ABAB-6	ABAB-7	ABAB-8	ABAB-9	ABAB0	B	BA	BA-2	BA-3	BA-4	BA-5	BA-6	BA-7	BA-8	PA	PA-2	PA-3	PAB	PAB-2	PAB-3	PAB-4	PAB-5	PAB-6	PB	PB-2	PB-3	PB-4	PB-5	PB-6	PB-7	PB-8
FIELD_TREE	((B:142.3955784,(PB-2:139.5193445,((PB-5:76.02154579,PB-8:76.02154579):50.6651109,((PB:83.57877033,PB-4:83.57877033):33.33712408,(PB-3:102.1277802,(PB-6:71.86144846,PB-7:71.86144846):30.26633171):14.78811424):9.770762289):12.83268783):2.876233903):160.108013,((PA-2:127.7617125,(A:118.1359852,(PA:97.87470741,PA-3:97.87470741):20.26127781):9.625727274):86.96870461,(((BA-7:127.2221097,BA-8:127.2221097):37.35176258,((BA:105.4371149,BA-2:105.4371149):44.59537833,(BA-3:115.5984187,BA-4:115.5984187):34.43407456):14.54137905):27.47329182,(((AB-5:159.628519,(AB-8:96.92471331,(AB-9:81.50281184,(AB-7:79.30488005,AB0:79.30488005):2.197931791):15.42190146):62.70380568):15.79913428,(((PAB-5:109.3299731,PAB-6:109.3299731):41.96741026,((PAB-2:82.0926705,PAB-3:82.0926705):53.38262317,(PAB:105.7644425,PAB-4:105.7644425):29.71085116):15.82208973):15.4192982,(((ABAB-7:111.6617077,ABAB-8:111.6617077):16.29105802,(ABAB-9:114.002161,(ABAB-5:87.35916237,ABAB-6:87.35916237):26.64299863):13.95060475):28.62179485,(AB-6:128.36994,(AB-4:107.5344726,(AB-3:102.300002,(AB:76.06679417,AB-2:76.06679417):26.23320781):5.234470609):20.83546744):28.20462057):10.14212099):8.710971663):10.05434819,((BA-5:99.4395892,BA-6:99.4395892):82.71825963,((ABAB-3:129.8309142,(ABAB-2:110.0470767,ABAB-4:110.0470767):19.78383741):28.43180625,(ABAB:145.1259023,ABAB0:145.1259023):13.13681808):23.89512842):3.324152614):6.565162668):22.68325299):87.77317435);
DATA
DonA_bin_102	84.2	68.3	78.56	75.1	77.33	99.86	85.58	99.48	98.21	93.71	98.94	56.91	84.04	95.64	69.83	93.47	86.7	74.42	83.49	87.57	71.57	13.52	68.73	52.96	53.02	13.97	99.82	99.68	73.52	79.45	70.48	57.46	81.72	53.8	81.22	60.7	44.56	72.25	67.86	9.19	10.11	4.67	14.32	14.12	6.48	13.99	13.09
DonA_bin_103	97.05	81.16	86.8	43.52	57.29	8.78	53.71	96	95.93	95.87	95.51	93.35	89.9	55.28	90.8	65.54	33.08	43.55	58.39	66.97	78.45	2.76	38.99	83.37	71.68	69.14	32.8	23.29	84.8	84.32	94.3	95.64	91.74	16.19	65.95	92.1	70.87	85.36	87.45	2.58	2.67	1.96	2.03	2.73	1.87	1.54	2.45
DonA_bin_104	88.49	68.36	49	34.55	41.73	1.16	29.89	89.72	84.6	94.93	89.92	91.47	90.45	86.5	97.9	60.91	34.29	29.22	36.36	20.86	83.33	0.77	25.63	70.55	57.6	57.19	30.89	38.64	91.67	65.93	94.31	95.23	94.39	32.65	85.07	94.05	52.76	84.57	76.37	0.58	0.62	0.28	0.47	0.57	0.34	0.29	0.47
DonA_bin_106	96.73	70.51	49.7	54.27	68.13	83.19	90.49	78.31	84.06	73.64	81.87	49.53	83.44	56.93	74.62	88.47	93.57	91.64	95.62	98.4	89.37	0.38	92.07	83.76	89.83	38.76	88.62	95.15	80.17	90.3	68.58	89.85	85.16	40.77	92.22	84.6	83.29	91.99	91.32	0.32	0.3	0.15	0.24	0.25	0.23	0.27	0.22
DonA_bin_109	99.8	99	98.59	99.48	78.73	99.98	97.82	99.9	99.96	99.61	99.86	3.04	99.96	95.99	99.84	97.08	98.76	15.19	99.28	99.67	5.2	1.08	98.94	98.97	6.7	1.6	99.96	93.85	99.86	99.92	99.46	99.79	99.9	97.57	99.23	91.76	98.97	99.21	98.43	0.7	0.51	0.21	0.36	0.42	0.37	0.51	0.24
DonA_bin_111	29.92	60.96	92.59	75.36	46.01	89.78	54.05	88.68	91.01	90.11	59.35	84.34	96.66	96.03	95.15	72.94	81.13	81.94	51.99	63.2	84.39	4.68	29.77	18.64	21.89	41.95	93.17	83.62	38.75	54.08	58.72	87.29	55.62	81.6	87.2	85.55	63.82	64.72	59.8	8.3	10.67	9.34	9.16	15.27	8.09	4.83	12.08
DonA_bin_112	26.06	38.63	40.55	41.24	38.74	83.6	74.24	36.6	38.72	36.87	33.96	12.93	20.98	29.91	70.06	42.94	96.54	88.92	74.23	76.05	61.44	0.08	90.75	47.66	68.21	70.43	18.83	25.06	32.92	16.39	23.22	43.85	31.76	23.94	30.41	39.51	42.46	4.43	13.92	0.24	0.24	0.09	0.08	0.09	0.13	0.06	0.1
DonA_bin_113	72.45	55.4	64.5	39.4	47.53	41.59	30.08	67.51	63.4	60.07	67.14	74.73	70.71	90.61	73.2	54.01	61.05	32.73	54.45	49.95	50.09	26.48	55.93	74.04	71.99	61.25	75.9	60.45	53.06	41.73	71.69	60.92	58.17	25.71	26.31	43.97	33.13	71.88	49.95	24.75	12.67	18.06	16.67	30.26	18.9	12.61	31.93
