Sample_1	Sample_2	value	Group_1	Group_2
Wild116	A1E02M01	0.598976039846406	DonorB	AB
X608	A1E02M01	0.564881578244079	DonorA	AB
Wild116	A1E02M02	0.604956620991324	DonorB	AB
X608	A1E02M02	0.554828855482886	DonorA	AB
Wild116	A1E02M04	0.602559219872039	DonorB	AB
X608	A1E02M04	0.587693161846025	DonorA	AB
Wild116	A1E02M05	0.578577131430853	DonorB	AB
X608	A1E02M05	0.528709558612868	DonorA	AB
Wild116	A1E02M07	0.669856267942507	DonorB	AB
X608	A1E02M07	0.508906752672026	DonorA	AB
Wild116	A1E02M08	0.644237704330737	DonorB	AB
X608	A1E02M08	0.53063788878705	DonorA	AB
Wild116	A1E02P1	0.806089461217892	DonorB	ParentA
X608	A1E02P1	0.413571041357104	DonorA	ParentA
Wild116	A1E02P2	0.78774278938714	DonorB	ParentA
X608	A1E02P2	0.304995234750238	DonorA	ParentA
Wild116	A1E03M01	0.55479216643765	DonorB	BA
X608	A1E03M01	0.545887409177482	DonorA	BA
Wild116	A1E03M02	0.507086902834761	DonorB	BA
X608	A1E03M02	0.538342061502618	DonorA	BA
Wild116	A1E03M05	0.54658153198723	DonorB	BA
X608	A1E03M05	0.525512276275614	DonorA	BA
Wild116	A1E03M06	0.612766461276646	DonorB	BA
X608	A1E03M06	0.5949038	DonorA	BA
Wild116	A1E03P1	0.386627769331389	DonorB	ParentB
X608	A1E03P1	0.764878411756079	DonorA	ParentB
Wild116	A1E03P2	0.422239584447917	DonorB	ParentB
X608	A1E03P2	0.751916675191667	DonorA	ParentB
Wild116	A1E03P3	0.449765252394364	DonorB	ParentB
X608	A1E03P3	0.805249031837161	DonorA	ParentB
Wild116	A1E03P4	0.386289223830151	DonorB	ParentB
X608	A1E03P4	0.784558624595519	DonorA	ParentB
Wild116	A1E04M01	0.648290335170966	DonorB	ABAB
X608	A1E04M01	0.462278807544239	DonorA	ABAB
Wild116	A1E04M02	0.7209796	DonorB	ABAB
X608	A1E04M02	0.435560656443934	DonorA	ABAB
Wild116	A1E04M04	0.756902351380471	DonorB	ABAB
X608	A1E04M04	0.496169949616995	DonorA	ABAB
Wild116	A1E04M05	0.681193604358082	DonorB	ABAB
X608	A1E04M05	0.464307292861459	DonorA	ABAB
Wild116	A1E04M07	0.600537480026874	DonorB	ABAB
X608	A1E04M07	0.481536825923158	DonorA	ABAB
Wild116	A1E04M08	0.612336925551616	DonorB	ABAB
X608	A1E04M08	0.54486474070266	DonorA	ABAB
Wild116	A1E04P1	0.592690179634509	DonorB	ParentAB
X608	A1E04P1	0.739296713035164	DonorA	ParentAB
Wild116	A1E04P2	0.689659522414881	DonorB	ParentAB
X608	A1E04P2	0.499853624978044	DonorA	ParentAB
Wild116	A1E04P3	0.652901513225378	DonorB	ParentAB
X608	A1E04P3	0.487818323172749	DonorA	ParentAB
Wild116	A1E04P4	0.595301519060304	DonorB	ParentAB
X608	A1E04P4	0.711991071199107	DonorA	ParentAB
Wild116	A1E09F1	0.406477810971672	DonorB	ParentB
X608	A1E09F1	0.783602589180129	DonorA	ParentB
Wild116	A1E09F2	0.463424246342425	DonorB	ParentB
X608	A1E09F2	0.8263346	DonorA	ParentB
Wild116	A1E09M01	0.719702529925632	DonorB	BA
X608	A1E09M01	0.473981721097258	DonorA	BA
Wild116	A1E09M02	0.71589060056171	DonorB	BA
X608	A1E09M02	0.534359583589896	DonorA	BA
Wild116	A1E09M06	0.644175775461521	DonorB	BA
X608	A1E09M06	0.501921975480494	DonorA	BA
Wild116	A1E09M07	0.557576177878808	DonorB	BA
X608	A1E09M07	0.510959224452039	DonorA	BA
Wild116	A1E09M1	0.434016143401615	DonorB	ParentB
X608	A1E09M1	0.8484608	DonorA	ParentB
Wild116	A1E09M2	0.384747838474784	DonorB	ParentB
X608	A1E09M2	0.8048574	DonorA	ParentB
Wild116	A1E10F	0.878216269554067	DonorB	ParentA
X608	A1E10F	0.407915511187326	DonorA	ParentA
Wild116	A1E10M01	0.696593839318768	DonorB	AB
X608	A1E10M01	0.369919736991973	DonorA	AB
Wild116	A1E10M02	0.744325061648759	DonorB	AB
X608	A1E10M02	0.420152271007613	DonorA	AB
Wild116	A1E10M04	0.641408546211282	DonorB	AB
X608	A1E10M04	0.426229271311464	DonorA	AB
Wild116	A1E10M05	0.676117267611726	DonorB	AB
X608	A1E10M05	0.3746675	DonorA	AB
Wild116	A1E12F	0.551964820785928	DonorB	ParentAB
X608	A1E12F	0.430778229233469	DonorA	ParentAB
Wild116	A1E12M01	0.699441994804699	DonorB	ABAB
X608	A1E12M01	0.553738488434623	DonorA	ABAB
Wild116	A1E12M02	0.703921255588188	DonorB	ABAB
X608	A1E12M02	0.505036475251824	DonorA	ABAB
Wild116	A1E12M05	0.613041248476811	DonorB	ABAB
X608	A1E12M05	0.476262011944107	DonorA	ABAB
Wild116	A1E12M06	0.545813309162662	DonorB	ABAB
X608	A1E12M06	0.453637345363735	DonorA	ABAB
Wild116	A1E12M	0.507441952232586	DonorB	ParentAB
X608	A1E12M	0.5075120015024	DonorA	ParentAB
