BinLab	Completeness	Contamination	Phylum	Class	Order	Family	Genus	Species
DonA_bin_1	64.27	0.39	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	
DonA_bin_10	20.85	0	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella	
DonA_bin_100	44.65	0.22	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	
DonA_bin_101	28.03	0	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	UBA11940	
DonA_bin_102	95.9	0	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	D16-63	
DonA_bin_103	93.67	0.63	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UMGS1370	
DonA_bin_104	95.19	0	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UMGS1370	
DonA_bin_105	0	0	NA	NA	NA	NA	NA	NA
DonA_bin_106	82.26	0.13	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	
DonA_bin_107	16.67	0	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	
DonA_bin_108	7.76	0	NA	NA	NA	NA	NA	NA
DonA_bin_109	61.6	0.85	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	UBA2866	
DonA_bin_11	36.24	0	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae		
DonA_bin_110	4.17	0	NA	NA	NA	NA	NA	NA
DonA_bin_111	93.62	1.68	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	
DonA_bin_112	52.59	0	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	
DonA_bin_113	93.71	2.63	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella	
DonA_bin_114	92.4	1.17	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella	Schaedlerella sp000364245
DonA_bin_115	0	0	NA	NA	NA	NA	NA	NA
DonA_bin_116	39.09	0.67	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_F	
DonA_bin_117	85.86	5.31	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea sp000403455
DonA_bin_118	0	0	NA	NA	NA	NA	NA	NA
DonA_bin_119	81.49	1.01	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UBA9475	
DonA_bin_12	73.02	0.75	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	
DonA_bin_120	43.8	0.58	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	
DonA_bin_121	66.02	7.35	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UMGS1872	
DonA_bin_122	6.9	0	NA	NA	NA	NA	NA	NA
DonA_bin_123	96.84	3.64	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95	
DonA_bin_124	83.97	0.52	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	Adlercreutzia caecimuris
DonA_bin_125	94.55	2.78	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella_A	
DonA_bin_126	94.93	1.72	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonA_bin_127	95.76	0.95	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UMGS1370	
DonA_bin_128	36.81	0.32	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UMGS1370	
DonA_bin_129	0	0	NA	NA	NA	NA	NA	NA
DonA_bin_13	0	0	NA	NA	NA	NA	NA	NA
DonA_bin_130	71.84	1.9	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella_A	
DonA_bin_131	39.87	1.02	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	
DonA_bin_132	62.38	0	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UBA9475	
DonA_bin_133	85.12	0	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae		
DonA_bin_14	93.65	1.34	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UMGS1872	
DonA_bin_15	5.17	0	NA	NA	NA	NA	NA	NA
DonA_bin_16	77.42	0.38	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002362485
DonA_bin_17	27.89	0	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UBA1448	
DonA_bin_18	0	0	NA	NA	NA	NA	NA	NA
DonA_bin_19	93.99	1.27	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA7182	
DonA_bin_2	0	0	NA	NA	NA	NA	NA	NA
DonA_bin_20	27.35	0	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonA_bin_21	74.13	1.47	Firmicutes	Bacilli	Haloplasmatales	Turicibacteraceae	Turicibacter	Turicibacter sp002311155
DonA_bin_22	94.19	3.2	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	
DonA_bin_23	96.51	0.38	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	
DonA_bin_24	96.97	0.13	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873 sp002490635
DonA_bin_25	62.11	3.51	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Angelakisella	
DonA_bin_26	90.16	68.4	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UBA9475	
DonA_bin_27	35.17	0	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	
DonA_bin_28	91.83	0.34	Firmicutes_A	Clostridia_A	Christensenellales	CAG-552		
DonA_bin_29	69.35	0.36	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	
DonA_bin_3	91.38	6.9	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	UBA11940	
DonA_bin_30	10.34	0	NA	NA	NA	NA	NA	NA
DonA_bin_31	97.04	0	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Bilophila	
DonA_bin_32	92.83	0.57	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonA_bin_33	98.26	1.55	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus taiwanensis
DonA_bin_34	93.61	0.81	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	D16-63	
DonA_bin_35	37.15	0	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_Q	
DonA_bin_36	97.2	3.6	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95	
DonA_bin_37	93.77	0.38	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	
DonA_bin_38	80.94	0	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	
DonA_bin_39	98.55	0.52	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus murinus
DonA_bin_4	90.29	0.57	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	
DonA_bin_40	99.65	0	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Emergencia	
DonA_bin_41	88.33	0.81	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	D16-63	
DonA_bin_42	36.29	0	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia flexneri
DonA_bin_43	3.45	0	NA	NA	NA	NA	NA	NA
DonA_bin_44	93.51	0.67	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminiclostridium_E	
DonA_bin_45	0	0	NA	NA	NA	NA	NA	NA
DonA_bin_46	94.71	0.72	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	
DonA_bin_47	91.67	1.61	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	
DonA_bin_48	98.56	0.48	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	
DonA_bin_49	54.31	1.72	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	
