sample.id	Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity	BinLab	Quality
DonA	bin_1	o__Clostridiales (UID1212)	172	263	149	92	169	2	0	0	0	64.27	0.39	0	DonA_bin_1	Bin
DonA	bin_10	k__Bacteria (UID203)	5449	104	58	90	14	0	0	0	0	20.85	0	0	DonA_bin_10	Bin
DonA	bin_100	o__Clostridiales (UID1212)	172	257	149	126	130	1	0	0	0	44.65	0.22	100	DonA_bin_100	Bin
DonA	bin_101	o__Clostridiales (UID1212)	172	263	149	182	81	0	0	0	0	28.03	0	0	DonA_bin_101	Bin
DonA	bin_102	p__Actinobacteria (UID2112)	31	211	124	8	203	0	0	0	0	95.9	0	0	DonA_bin_102	MAG
DonA	bin_103	o__Clostridiales (UID1226)	155	278	158	14	263	1	0	0	0	93.67	0.63	0	DonA_bin_103	MAG
DonA	bin_104	o__Clostridiales (UID1226)	155	278	158	32	246	0	0	0	0	95.19	0	0	DonA_bin_104	MAG
DonA	bin_105	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	DonA_bin_105	Bin
DonA	bin_106	o__Bacteroidales (UID2617)	213	406	265	57	348	1	0	0	0	82.26	0.13	0	DonA_bin_106	MAG
DonA	bin_107	root (UID1)	5656	56	24	52	4	0	0	0	0	16.67	0	0	DonA_bin_107	Bin
DonA	bin_108	k__Bacteria (UID203)	5449	104	58	99	5	0	0	0	0	7.76	0	0	DonA_bin_108	Bin
DonA	bin_109	k__Bacteria (UID1453)	901	171	117	53	117	1	0	0	0	61.6	0.85	0	DonA_bin_109	Bin
DonA	bin_11	k__Bacteria (UID2372)	131	177	106	115	62	0	0	0	0	36.24	0	0	DonA_bin_11	Bin
DonA	bin_110	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	DonA_bin_110	Bin
DonA	bin_111	o__Clostridiales (UID1212)	172	257	149	12	242	3	0	0	0	93.62	1.68	33.33	DonA_bin_111	MAG
DonA	bin_112	k__Bacteria (UID203)	5449	104	58	70	34	0	0	0	0	52.59	0	0	DonA_bin_112	Bin
DonA	bin_113	f__Lachnospiraceae (UID1256)	33	333	171	16	310	7	0	0	0	93.71	2.63	42.86	DonA_bin_113	MAG
DonA	bin_114	f__Lachnospiraceae (UID1256)	33	333	171	24	307	1	1	0	0	92.4	1.17	0	DonA_bin_114	MAG
DonA	bin_115	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	DonA_bin_115	Bin
DonA	bin_116	o__Clostridiales (UID1212)	172	263	149	155	107	1	0	0	0	39.09	0.67	0	DonA_bin_116	Bin
DonA	bin_117	f__Lachnospiraceae (UID1256)	33	333	171	56	264	9	4	0	0	85.86	5.31	19.05	DonA_bin_117	MAG
DonA	bin_118	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	DonA_bin_118	Bin
DonA	bin_119	o__Clostridiales (UID1212)	172	257	149	47	208	2	0	0	0	81.49	1.01	50	DonA_bin_119	MAG
DonA	bin_12	o__Bacteroidales (UID2617)	213	406	265	98	305	3	0	0	0	73.02	0.75	0	DonA_bin_12	MAG
DonA	bin_120	f__Lachnospiraceae (UID1256)	33	333	171	194	138	1	0	0	0	43.8	0.58	0	DonA_bin_120	Bin
DonA	bin_121	o__Clostridiales (UID1212)	172	263	149	88	153	21	1	0	0	66.02	7.35	12.5	DonA_bin_121	Bin
DonA	bin_122	k__Bacteria (UID203)	5449	104	58	100	4	0	0	0	0	6.9	0	0	DonA_bin_122	Bin
DonA	bin_123	f__Lachnospiraceae (UID1255)	90	354	174	50	293	11	0	0	0	96.84	3.64	9.09	DonA_bin_123	MAG
DonA	bin_124	p__Actinobacteria (UID2112)	31	211	124	47	162	2	0	0	0	83.97	0.52	100	DonA_bin_124	MAG
DonA	bin_125	o__Clostridiales (UID1226)	155	278	158	23	248	6	1	0	0	94.55	2.78	77.78	DonA_bin_125	MAG
DonA	bin_126	f__Lachnospiraceae (UID1255)	90	354	174	22	329	3	0	0	0	94.93	1.72	0	DonA_bin_126	MAG
DonA	bin_127	o__Clostridiales (UID1226)	155	278	158	42	233	3	0	0	0	95.76	0.95	0	DonA_bin_127	MAG
DonA	bin_128	o__Clostridiales (UID1226)	155	278	158	190	87	1	0	0	0	36.81	0.32	0	DonA_bin_128	Bin
DonA	bin_129	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	DonA_bin_129	Bin
DonA	bin_13	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	DonA_bin_13	Bin
DonA	bin_130	o__Clostridiales (UID1226)	155	278	158	103	172	3	0	0	0	71.84	1.9	0	DonA_bin_130	MAG
DonA	bin_131	k__Bacteria (UID203)	5449	104	58	75	27	2	0	0	0	39.87	1.02	0	DonA_bin_131	Bin
DonA	bin_132	k__Bacteria (UID203)	5449	98	58	51	47	0	0	0	0	62.38	0	0	DonA_bin_132	Bin
DonA	bin_133	o__Clostridiales (UID1212)	172	263	149	33	230	0	0	0	0	85.12	0	0	DonA_bin_133	MAG
DonA	bin_14	o__Clostridiales (UID1212)	172	263	149	18	241	4	0	0	0	93.65	1.34	0	DonA_bin_14	MAG
