sample.id	user_genome	Kingdom	Phylum	Class	Order	Family	Genus	Species	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings	BinLab
DonA	bin_1	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__	ANI	N/A	GCA_900543555.1, s__Acutalibacter sp900543555, 95.0, 78.39, 0.3; GCA_000435395.1, s__Acutalibacter sp000435395, 95.0, 78.31, 0.38; GCF_003612555.1, s__Acutalibacter sp003612555, 95.0, 78.23, 0.32; GCA_000432995.1, s__Acutalibacter sp000432995, 95.0, 77.93, 0.23; GCA_900548545.1, s__Acutalibacter sp900548545, 95.0, 77.73, 0.26; GCF_002201475.1, s__Acutalibacter muris, 95.0, 77.65, 0.29; GCA_900543305.1, s__Acutalibacter sp900543305, 95.0, 77.55, 0.18; GCF_900048895.1, s__Acutalibacter timonensis, 95.0, 77.44, 0.17	61.69	11	0.9246766670820353	N/A	DonA_bin_1
DonA	bin_10	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella		N/A	N/A	N/A	N/A	N/A	GCF_000403295.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella sp000403295	85.96	0.69	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000364245.1, s__Schaedlerella sp000364245, 95.0, 82.75, 0.68; GCF_001311035.1, s__Schaedlerella glycyrrhizinilyticum, 95.0, 76.99, 0.08; GCF_003480425.1, s__Schaedlerella sp900066545, 95.0, 75.75, 0.01; GCA_002320245.1, s__Schaedlerella sp002320245, 95.0, 75.62, 0.04; GCA_004556565.1, s__Schaedlerella sp004556565, 95.0, 75.42, 0.02	17.1	11	0.9943621305285119	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	DonA_bin_10
DonA	bin_100	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter		N/A	N/A	N/A	N/A	N/A	GCF_000492175.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp000492175	85.21	0.61	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__	taxonomic classification defined by topology and ANI	N/A	GCF_003612335.1, s__Lawsonibacter sp003612335, 95.0, 84.07, 0.59; GCF_002160305.1, s__Lawsonibacter sp002160305, 95.0, 81.48, 0.39; GCA_900545895.1, s__Lawsonibacter sp900545895, 95.0, 81.08, 0.34; GCA_900550705.1, s__Lawsonibacter sp900550705, 95.0, 81.01, 0.33; GCF_003478995.1, s__Lawsonibacter sp003478995, 95.0, 80.96, 0.37; GCF_003573975.1, s__Lawsonibacter sp900066825, 95.0, 80.69, 0.34; GCA_900549405.1, s__Lawsonibacter sp900549405, 95.0, 80.68, 0.34; GCA_900553135.1, s__Lawsonibacter sp900553135, 95.0, 80.24, 0.29; GCF_002161175.1, s__Lawsonibacter sp002161175, 95.0, 80.17, 0.33; GCF_000177015.3, s__Lawsonibacter sp000177015, 95.0, 79.88, 0.33; GCF_003112755.1, s__Lawsonibacter asaccharolyticus, 95.0, 79.78, 0.36; GCA_900066645.1, s__Lawsonibacter sp900066645, 95.0, 79.68, 0.31	45.83	11	0.986285944648	N/A	DonA_bin_100
DonA	bin_101	d__Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	UBA11940		N/A	N/A	N/A	N/A	N/A	GCA_003979335.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__UBA11940 sp003979335	76.78	0.15	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	taxonomic classification defined by topology and ANI	N/A	GCA_003503945.1, s__UBA11940 sp003503945, 95.0, 77.54, 0.36; GCA_900549005.1, s__UBA11940 sp900549005, 95.0, 77.51, 0.23	30.5	11	0.9511832262556177	N/A	DonA_bin_101
DonA	bin_102	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	D16-63		N/A	N/A	N/A	N/A	N/A	GCF_003612475.1	95.0	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__D16-63;s__D16-63 sp003612475	77.75	0.1	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	88.29	11	0.9167793502510017	N/A	DonA_bin_102
DonA	bin_103	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UMGS1370		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	88.41	11	0.9072811921206965	N/A	DonA_bin_103
DonA	bin_104	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UMGS1370		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	79.44	11	0.905539964824349	N/A	DonA_bin_104
DonA	bin_106	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__	ANI	N/A	GCA_004557825.1, s__UBA7173 sp004557825, 95.0, 77.53, 0.04; GCF_004102805.1, s__UBA7173 sp004102805, 95.0, 77.4, 0.07; GCA_001915385.1, s__UBA7173 sp001915385, 95.0, 77.22, 0.06; GCA_900546835.1, s__UBA7173 sp900546835, 95.0, 77.0, 0.06; GCA_001689485.1, s__UBA7173 sp001689485, 95.0, 76.93, 0.04; GCA_900548705.1, s__UBA7173 sp900548705, 95.0, 76.82, 0.05; GCA_900545955.1, s__UBA7173 sp900545955, 95.0, 76.8, 0.07; GCA_900540205.1, s__UBA7173 sp900540205, 95.0, 76.67, 0.06; GCF_004102785.1, s__UBA7173 sp002491305, 95.0, 76.62, 0.06; GCA_001689685.1, s__UBA7173 sp001689685, 95.0, 76.54, 0.04; GCA_001701135.1, s__UBA7173 sp001701135, 95.0, 76.52, 0.07; GCA_900555165.1, s__UBA7173 sp900555165, 95.0, 76.0, 0.05; GCA_900552325.1, s__UBA7173 sp900552325, 95.0, 75.83, 0.04	75.77	11	0.9389154361936105	N/A	DonA_bin_106
DonA	bin_107	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter		N/A	N/A	N/A	N/A	N/A	GCF_000403435.2	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp000403435	77.64	0.26	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__	taxonomic classification defined by topology and ANI	N/A	GCF_005121165.1, s__Oscillibacter welbionis, 95.0, 77.6, 0.18; GCA_004553545.1, s__Oscillibacter sp004553545, 95.0, 77.48, 0.1; GCA_900548505.1, s__Oscillibacter sp900548505, 95.0, 77.35, 0.11; GCA_004558115.1, s__Oscillibacter sp004558115, 95.0, 77.17, 0.14; GCA_900554425.1, s__Oscillibacter sp900554425, 95.0, 77.16, 0.1; GCA_900542115.1, s__Oscillibacter sp900542115, 95.0, 76.97, 0.08; GCA_900556925.1, s__Oscillibacter sp900556925, 95.0, 76.65, 0.13; GCA_900550685.1, s__Oscillibacter sp900550685, 95.0, 76.63, 0.18; GCF_900115635.1, s__Oscillibacter sp900115635, 95.0, 76.56, 0.11; GCA_001916835.1, s__Oscillibacter sp001916835, 95.0, 76.22, 0.08; GCA_900546705.1, s__Oscillibacter sp900546705, 95.0, 76.19, 0.15; GCA_900544955.1, s__Oscillibacter sp900544955, 95.0, 76.18, 0.19; GCA_000436875.1, s__Oscillibacter sp000436875, 95.0, 76.16, 0.17; GCA_900544105.1, s__Oscillibacter sp900544105, 95.0, 76.14, 0.12; GCA_900544615.1, s__Oscillibacter sp900544615, 95.0, 76.1, 0.14; GCA_900551885.1, s__Oscillibacter sp900551885, 95.0, 76.08, 0.18; GCA_002455655.1, s__Oscillibacter sp002455655, 95.0, 76.0, 0.12; GCF_000307265.1, s__Oscillibacter ruminantium, 95.0, 75.76, 0.08; GCF_000283575.1, s__Oscillibacter valericigenes, 95.0, 75.7, 0.12; GCA_003245395.1, s__Oscillibacter sp003245395, 95.0, 74.64, 0.06	15	11	0.9577307539349997	N/A	DonA_bin_107
DonA	bin_109	d__Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	UBA2866		N/A	N/A	N/A	N/A	N/A	GCA_003979185.1	95.0	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA2866;s__UBA2866 sp003979185	77.95	0.15	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA2866;s__	taxonomic classification defined by topology and ANI	N/A	GCF_004138405.1, s__UBA2866 sp004138405, 95.0, 78.67, 0.1; GCA_002393165.1, s__UBA2866 sp002393165, 95.0, 77.29, 0.05; GCA_002350545.1, s__UBA2866 sp002350545, 95.0, 77.04, 0.09; GCA_002315165.1, s__UBA2866 sp002315165, 95.0, 76.96, 0.1; GCA_002363125.1, s__UBA2866 sp002363125, 95.0, 76.74, 0.08; GCF_004138395.1, s__UBA2866 sp004138395, 95.0, 76.41, 0.07; GCA_002371235.1, s__UBA2866 sp002371235, 95.0, 76.33, 0.06; GCA_002309075.1, s__UBA2866 sp002309075, 95.0, 76.31, 0.07	70.97	11	0.9629905198400662	N/A	DonA_bin_109
DonA	bin_11	d__Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae			N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	27.78	11	0.8825403074675857	N/A	DonA_bin_11
